TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,Percent
2017-21,NTA2020,50101,9,Mott Haven-Port Morris,"6,228",29.6
2017-21,NTA2020,50102,9,Melrose,"3,808",24.3
2017-21,NTA2020,50201,9,Hunts Point,"2,290",43.9
2017-21,NTA2020,50202,9,Longwood,"5,495",37.4
2017-21,NTA2020,50301,9,Morrisania,"3,387",25.0
2017-21,NTA2020,50302,9,Claremont Village-Claremont (East),"1,821",21.4
2017-21,NTA2020,50303,9,Crotona Park East,"4,122",36.9
2017-21,NTA2020,50401,9,Concourse-Concourse Village,"15,447",58.3
2017-21,NTA2020,50402,9,Highbridge,"5,842",48.4
2017-21,NTA2020,50403,9,Mount Eden-Claremont (West),"9,210",51.5
2017-21,NTA2020,50501,9,University Heights (South)-Morris Heights,"9,148",48.1
2017-21,NTA2020,50502,9,Mount Hope,"11,030",64.8
2017-21,NTA2020,50503,9,Fordham Heights,"7,978",72.0
2017-21,NTA2020,50601,9,West Farms,"2,595",37.6
2017-21,NTA2020,50602,9,Tremont,"4,250",35.7
2017-21,NTA2020,50603,9,Belmont,"8,394",66.3
2017-21,NTA2020,50701,9,University Heights (North)-Fordham,"10,407",62.4
2017-21,NTA2020,50702,9,Bedford Park,"15,609",71.9
2017-21,NTA2020,50703,9,Norwood,"10,445",68.3
2017-21,NTA2020,50801,9,Kingsbridge Heights-Van Cortlandt Village,"8,715",63.2
2017-21,NTA2020,50802,9,Kingsbridge-Marble Hill,"4,720",46.1
2017-21,NTA2020,50803,9,Riverdale-Spuyten Duyvil,"6,065",29.5
2017-21,NTA2020,50901,9,Soundview-Bruckner-Bronx River,"12,315",47.1
2017-21,NTA2020,50902,9,Soundview-Clason Point,"4,472",33.0
2017-21,NTA2020,50903,9,Castle Hill-Unionport,"5,326",39.7
2017-21,NTA2020,50904,9,Parkchester,"10,032",75.2
2017-21,NTA2020,51001,9,Westchester Square,"3,418",60.7
2017-21,NTA2020,51002,9,Throgs Neck-Schuylerville,"7,489",41.2
2017-21,NTA2020,51003,9,Pelham Bay-Country Club-City Island,"5,272",43.5
2017-21,NTA2020,51004,9,Co-op City,"1,003",6.0
2017-21,NTA2020,51101,9,Pelham Parkway-Van Nest,"7,272",62.3
2017-21,NTA2020,51102,9,Morris Park,"4,396",48.4
2017-21,NTA2020,51103,9,Pelham Gardens,"3,813",39.2
2017-21,NTA2020,51104,9,Allerton,"8,002",52.0
2017-21,NTA2020,51201,9,Williamsbridge-Olinville,"10,764",47.8
2017-21,NTA2020,51202,9,Eastchester-Edenwald-Baychester,"6,327",34.5
2017-21,NTA2020,51203,9,Wakefield-Woodlawn,"11,160",60.3
2017-21,NTA2020,470101,9,Greenpoint,"12,662",66.6
2017-21,NTA2020,470102,9,Williamsburg,"11,277",38.4
2017-21,NTA2020,470103,9,South Williamsburg,"4,009",35.2
2017-21,NTA2020,470104,9,East Williamsburg,"10,671",44.9
2017-21,NTA2020,470201,9,Brooklyn Heights,"8,770",67.8
2017-21,NTA2020,470202,9,Downtown Brooklyn-DUMBO-Boerum Hill,"6,408",33.4
2017-21,NTA2020,470203,9,Fort Greene,"8,192",51.9
2017-21,NTA2020,470204,9,Clinton Hill,"9,006",65.1
2017-21,NTA2020,470301,9,Bedford-Stuyvesant (West),"20,023",56.6
2017-21,NTA2020,470302,9,Bedford-Stuyvesant (East),"24,507",65.4
2017-21,NTA2020,470401,9,Bushwick (West),"11,481",53.2
2017-21,NTA2020,470402,9,Bushwick (East),"14,717",62.6
2017-21,NTA2020,470501,9,Cypress Hills,"11,283",76.0
2017-21,NTA2020,470502,9,East New York (North),"6,947",45.6
2017-21,NTA2020,470503,9,East New York-New Lots,"8,884",42.9
2017-21,NTA2020,470504,9,Spring Creek-Starrett City,395,4.8
2017-21,NTA2020,470505,9,East New York-City Line,"5,516",33.3
2017-21,NTA2020,470601,9,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"18,887",67.3
2017-21,NTA2020,470602,9,Park Slope,"21,939",80.5
2017-21,NTA2020,470701,9,Windsor Terrace-South Slope,"7,216",63.8
2017-21,NTA2020,470702,9,Sunset Park (West),"10,963",61.4
2017-21,NTA2020,470703,9,Sunset Park (Central),"10,424",72.9
2017-21,NTA2020,470801,9,Prospect Heights,"8,187",72.6
2017-21,NTA2020,470802,9,Crown Heights (North),"27,241",69.7
2017-21,NTA2020,470901,9,Crown Heights (South),"15,331",75.1
2017-21,NTA2020,470902,9,Prospect Lefferts Gardens-Wingate,"14,218",66.1
2017-21,NTA2020,471001,9,Bay Ridge,"26,777",69.3
2017-21,NTA2020,471002,9,Dyker Heights,"11,100",71.2
2017-21,NTA2020,471101,9,Bensonhurst,"26,671",73.3
2017-21,NTA2020,471102,9,Bath Beach,"7,944",64.4
2017-21,NTA2020,471103,9,Gravesend (West),"13,399",65.9
2017-21,NTA2020,471201,9,Sunset Park (East)-Borough Park (West),"7,364",72.6
2017-21,NTA2020,471202,9,Borough Park,"13,166",58.0
2017-21,NTA2020,471203,9,Kensington,"8,672",58.7
2017-21,NTA2020,471204,9,Mapleton-Midwood (West),"8,410",63.8
2017-21,NTA2020,471301,9,Gravesend (South),"3,198",27.6
2017-21,NTA2020,471302,9,Coney Island-Sea Gate,"3,926",17.5
2017-21,NTA2020,471303,9,Brighton Beach,"7,514",52.4
2017-21,NTA2020,471401,9,Flatbush,"21,359",78.3
2017-21,NTA2020,471402,9,Flatbush (West)-Ditmas Park-Parkville,"9,597",57.8
2017-21,NTA2020,471403,9,Midwood,"12,432",64.4
2017-21,NTA2020,471501,9,Gravesend (East)-Homecrest,"11,220",56.6
2017-21,NTA2020,471502,9,Madison,"11,652",70.2
2017-21,NTA2020,471503,9,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,"13,214",46.0
2017-21,NTA2020,471601,9,Ocean Hill,"9,100",57.3
2017-21,NTA2020,471602,9,Brownsville,"8,556",39.2
2017-21,NTA2020,471701,9,East Flatbush-Erasmus,"13,392",70.3
2017-21,NTA2020,471702,9,East Flatbush-Farragut,"9,056",67.6
2017-21,NTA2020,471703,9,East Flatbush-Rugby,"11,575",71.7
2017-21,NTA2020,471704,9,East Flatbush-Remsen Village,"10,521",66.5
2017-21,NTA2020,471801,9,Flatlands,"12,717",50.6
2017-21,NTA2020,471802,9,Marine Park-Mill Basin-Bergen Beach,"8,165",45.6
2017-21,NTA2020,471803,9,Canarsie,"12,174",38.3
2017-21,NTA2020,610101,9,Financial District-Battery Park City,"9,730",34.3
2017-21,NTA2020,610102,9,Tribeca-Civic Center,"5,149",44.2
2017-21,NTA2020,610201,9,SoHo-Little Italy-Hudson Square,"10,492",72.2
2017-21,NTA2020,610202,9,Greenwich Village,"11,256",57.6
2017-21,NTA2020,610203,9,West Village,"16,648",71.1
2017-21,NTA2020,610301,9,Chinatown-Two Bridges,"10,883",55.2
2017-21,NTA2020,610302,9,Lower East Side,"9,540",41.6
2017-21,NTA2020,610303,9,East Village,"22,961",62.2
2017-21,NTA2020,610401,9,Chelsea-Hudson Yards,"18,018",43.1
2017-21,NTA2020,610402,9,Hell's Kitchen,"13,139",34.7
2017-21,NTA2020,610501,9,Midtown South-Flatiron-Union Square,"7,495",41.1
2017-21,NTA2020,610502,9,Midtown-Times Square,"7,800",41.4
2017-21,NTA2020,610601,9,Stuyvesant Town-Peter Cooper Village,"8,617",76.0
2017-21,NTA2020,610602,9,Gramercy,"7,913",45.5
2017-21,NTA2020,610603,9,Murray Hill-Kips Bay,"10,649",29.1
2017-21,NTA2020,610604,9,East Midtown-Turtle Bay,"10,607",34.0
2017-21,NTA2020,610701,9,Upper West Side-Lincoln Square,"17,030",38.4
2017-21,NTA2020,610702,9,Upper West Side (Central),"43,258",73.8
2017-21,NTA2020,610703,9,Upper West Side-Manhattan Valley,"15,850",61.2
2017-21,NTA2020,610801,9,Upper East Side-Lenox Hill-Roosevelt Island,"14,582",27.6
2017-21,NTA2020,610802,9,Upper East Side-Carnegie Hill,"22,599",59.6
2017-21,NTA2020,610803,9,Upper East Side-Yorkville,"15,812",32.4
2017-21,NTA2020,610901,9,Morningside Heights,"10,094",69.5
2017-21,NTA2020,610902,9,Manhattanville-West Harlem,"5,666",62.5
2017-21,NTA2020,610903,9,Hamilton Heights-Sugar Hill,"17,240",81.3
2017-21,NTA2020,611001,9,Harlem (South),"12,514",54.9
2017-21,NTA2020,611002,9,Harlem (North),"16,383",42.1
2017-21,NTA2020,611101,9,East Harlem (South),"7,239",25.2
2017-21,NTA2020,611102,9,East Harlem (North),"9,016",30.0
2017-21,NTA2020,611201,9,Washington Heights (South),"23,159",75.2
2017-21,NTA2020,611202,9,Washington Heights (North),"22,696",72.2
2017-21,NTA2020,611203,9,Inwood,"12,121",73.2
2017-21,NTA2020,810101,9,Astoria (North)-Ditmars-Steinway,"14,680",63.8
2017-21,NTA2020,810102,9,Old Astoria-Hallets Point,"3,709",41.3
2017-21,NTA2020,810103,9,Astoria (Central),"16,756",60.4
2017-21,NTA2020,810104,9,Astoria (East)-Woodside (North),"12,038",66.1
2017-21,NTA2020,810105,9,Queensbridge-Ravenswood-Dutch Kills,"7,384",49.8
2017-21,NTA2020,810201,9,Long Island City-Hunters Point,"2,746",15.9
2017-21,NTA2020,810202,9,Sunnyside,"15,849",69.6
2017-21,NTA2020,810203,9,Woodside,"6,981",37.4
2017-21,NTA2020,810301,9,Jackson Heights,"21,074",53.3
2017-21,NTA2020,810302,9,East Elmhurst,"6,333",58.9
2017-21,NTA2020,810303,9,North Corona,"4,098",40.9
2017-21,NTA2020,810401,9,Elmhurst,"12,868",36.9
2017-21,NTA2020,810402,9,Corona,"5,925",27.9
2017-21,NTA2020,810501,9,Maspeth,"9,312",57.5
2017-21,NTA2020,810502,9,Ridgewood,"18,533",69.2
2017-21,NTA2020,810503,9,Glendale,"9,338",70.1
2017-21,NTA2020,810504,9,Middle Village,"6,691",47.5
2017-21,NTA2020,810601,9,Rego Park,"5,612",40.7
2017-21,NTA2020,810602,9,Forest Hills,"18,835",43.8
2017-21,NTA2020,810701,9,College Point,"3,999",40.1
2017-21,NTA2020,810702,9,Whitestone-Beechhurst,"3,485",30.1
2017-21,NTA2020,810703,9,Bay Terrace-Clearview,942,8.4
2017-21,NTA2020,810704,9,Murray Hill-Broadway Flushing,"8,504",40.8
2017-21,NTA2020,810705,9,East Flushing,"4,847",43.3
2017-21,NTA2020,810706,9,Queensboro Hill,"2,818",45.5
2017-21,NTA2020,810707,9,Flushing-Willets Point,"8,191",30.8
2017-21,NTA2020,810801,9,Kew Gardens Hills,"5,033",37.4
2017-21,NTA2020,810802,9,Pomonok-Electchester-Hillcrest,"4,182",32.0
2017-21,NTA2020,810803,9,Fresh Meadows-Utopia,"3,676",44.2
2017-21,NTA2020,810804,9,Jamaica Estates-Holliswood,"3,680",39.2
2017-21,NTA2020,810805,9,Jamaica Hills-Briarwood,"5,022",34.0
2017-21,NTA2020,810901,9,Kew Gardens,"5,983",53.5
2017-21,NTA2020,810902,9,Richmond Hill,"8,386",78.0
2017-21,NTA2020,810903,9,South Richmond Hill,"4,708",72.4
2017-21,NTA2020,810904,9,Ozone Park (North),"5,038",65.3
2017-21,NTA2020,810905,9,Woodhaven,"8,907",71.7
2017-21,NTA2020,811001,9,South Ozone Park,"15,308",64.2
2017-21,NTA2020,811002,9,Ozone Park,"4,304",54.0
2017-21,NTA2020,811003,9,Howard Beach-Lindenwood,"2,345",19.3
2017-21,NTA2020,811101,9,Auburndale,"6,476",49.2
2017-21,NTA2020,811102,9,Bayside,"4,556",33.4
2017-21,NTA2020,811103,9,Douglaston-Little Neck,"2,429",22.6
2017-21,NTA2020,811104,9,Oakland Gardens-Hollis Hills,"2,854",27.4
2017-21,NTA2020,811201,9,Jamaica,"7,727",43.0
2017-21,NTA2020,811202,9,South Jamaica,"5,668",43.9
2017-21,NTA2020,811203,9,Baisley Park,"6,530",48.1
2017-21,NTA2020,811204,9,Springfield Gardens (North)-Rochdale Village,"2,823",22.1
2017-21,NTA2020,811205,9,St. Albans,"10,065",59.9
2017-21,NTA2020,811206,9,Hollis,"4,599",63.1
2017-21,NTA2020,811301,9,Glen Oaks-Floral Park-New Hyde Park,"2,596",25.9
2017-21,NTA2020,811302,9,Bellerose,"3,854",43.6
2017-21,NTA2020,811303,9,Queens Village,"12,609",71.5
2017-21,NTA2020,811304,9,Cambria Heights,"4,016",59.9
2017-21,NTA2020,811305,9,Laurelton,"5,080",55.4
2017-21,NTA2020,811306,9,Springfield Gardens (South)-Brookville,"2,276",35.3
2017-21,NTA2020,811307,9,Rosedale,"2,305",27.4
2017-21,NTA2020,811401,9,Far Rockaway-Bayswater,"4,655",22.7
2017-21,NTA2020,811402,9,Rockaway Beach-Arverne-Edgemere,"2,757",16.8
2017-21,NTA2020,811403,9,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"5,073",42.3
2017-21,NTA2020,850101,9,St. George-New Brighton,"4,539",53.6
2017-21,NTA2020,850102,9,Tompkinsville-Stapleton-Clifton-Fox Hills,"2,765",40.6
2017-21,NTA2020,850103,9,Rosebank-Shore Acres-Park Hill,"1,930",19.5
2017-21,NTA2020,850104,9,West New Brighton-Silver Lake-Grymes Hill,"7,053",51.0
2017-21,NTA2020,850105,9,Westerleigh-Castleton Corners,"3,975",34.4
2017-21,NTA2020,850106,9,Port Richmond,"3,714",52.1
2017-21,NTA2020,850107,9,Mariner's Harbor-Arlington-Graniteville,"2,659",22.8
2017-21,NTA2020,850201,9,Grasmere-Arrochar-South Beach-Dongan Hills,"2,517",18.5
2017-21,NTA2020,850202,9,New Dorp-Midland Beach,"2,515",24.5
2017-21,NTA2020,850203,9,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,"1,451",12.6
2017-21,NTA2020,850204,9,New Springville-Willowbrook-Bulls Head-Travis,570,3.6
2017-21,NTA2020,850301,9,Oakwood-Richmondtown,"1,069",13.0
2017-21,NTA2020,850302,9,Great Kills-Eltingville,"2,432",11.5
2017-21,NTA2020,850303,9,Arden Heights-Rossville,368,3.3
2017-21,NTA2020,850304,9,Annadale-Huguenot-Prince's Bay-Woodrow,"1,129",7.5
2017-21,NTA2020,850305,9,Tottenville-Charleston,"1,384",21.7
2017-21,CDTA2020,501,7,Melrose-Mott Haven-Port Morris (CD 1),"10,036",27.3
2017-21,CDTA2020,502,7,Longwood-Hunts Point (CD 2),"7,785",39.1
2017-21,CDTA2020,503,7,Morrisania-Crotona Park East (CD 3),"9,330",28.1
2017-21,CDTA2020,504,7,Highbridge-Concourse (CD 4),"30,499",54.0
2017-21,CDTA2020,505,7,Morris Heights-Mount Hope (CD 5),"28,156",59.7
2017-21,CDTA2020,506,7,Tremont-Belmont-West Farms (CD 6),"15,239",48.5
2017-21,CDTA2020,507,7,Fordham-Bedford Park-Norwood (CD 7),"36,461",67.9
2017-21,CDTA2020,508,7,Riverdale-Kingsbridge-Marble Hill (CD 8),"19,500",43.7
2017-21,CDTA2020,509,7,Soundview-Parkchester (CD 9),"32,145",48.4
2017-21,CDTA2020,510,7,Co-op City-Throgs Neck (CD 10),"17,182",32.7
2017-21,CDTA2020,511,7,Pelham Parkway-Morris Park (CD 11),"23,483",51.2
2017-21,CDTA2020,512,7,Wakefield-Williamsbridge-Eastchester (CD 12),"28,251",47.6
2017-21,CDTA2020,4701,7,Williamsburg-Greenpoint (CD 1),"38,619",46.2
2017-21,CDTA2020,4702,7,Downtown Brooklyn-Fort Greene (CD 2),"32,376",52.5
2017-21,CDTA2020,4703,7,Bedford-Stuyvesant (CD 3),"44,530",61.1
2017-21,CDTA2020,4704,7,Bushwick (CD 4),"26,198",58.1
